,Chromosome,Start,Stop,Strand,Gene Symbol,gene_biotype,gene_name,gene_source,tag,transcript_biotype,transcript_source,GC-JN-9178-12-IC_S13,GC-JN-9178-9-OC_S10,GC-JN-9178-9-R_S6,GC-JN-9178-Ctrl-IC_S8,GC-JN-9178-12-R_S5,GC-JN-9178-13-R_S11,GC-JN-9178-13-OC_S3,GC-JN-9178-Ctrl-OC_S9,GC-JN-9178-13-IC_S7,GC-JN-9178-11-R_S4,GC-JN-9178-10-R_S15,GC-JN-9178-11-OC_S17,GC-JN-9178-10-OC_S2,GC-JN-9178-9-IC_S12,GC-JN-9178-11-IC_S16,GC-JN-9178-12-OC_S14,GC-JN-9178-10-IC_S1,BLGCSEQ0192-RNAControl1_S18,BLGCSEQ0192-RNAControl3_S20,BLGCSEQ0192-RNAControl2_S19
613,3,117250096,117316201,+,APOB,protein_coding,APOB,ensembl,---,protein_coding,ensembl,2.0,3.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,26.0,47.0,59.0
650,17,50631092,50732244,+,ARFGEF2,protein_coding,ARFGEF2,ensembl,---,protein_coding,ensembl,185.916,46.8675,147.0,368.881,290.0,194.0,301.829,419.827,241.0,294.851,213.874,116.781,141.968,286.93,96.0,208.0,215.98,12.0,18.0,27.0
779,X,107992,155865,-,ARSL,protein_coding,ARSL,ensembl,---,protein_coding,ensembl,89.0,26.0,105.0,124.0,183.0,171.0,169.0,196.0,145.0,203.0,107.0,62.0,113.0,159.0,95.0,114.0,40.0,0.0,0.0,0.0
791,18,6039498,6049859,+,ASB10,protein_coding,ASB10,ensembl,---,protein_coding,ensembl,0.0,0.0,2.0,37.0,5.0,16.0,10.0,24.0,7.0,3.0,3.0,0.0,5.0,4.0,5.0,5.0,11.0,0.0,0.0,0.0
793,10,65267731,65303244,+,ASB13,protein_coding,ASB13,ensembl,---,protein_coding,ensembl,67.9999,22.0,52.0,49.0,71.0,91.0,68.0,77.0,52.0,58.0,60.0,42.0,51.0,81.0,43.0,41.0,46.0,0.0,0.0,0.0
794,13,39123650,39146915,-,ASB14,protein_coding,ASB14,ensembl,---,protein_coding,ensembl,5.0,1.0,0.0,49.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,90.0,0.0,0.0,0.0
796,12,19033480,19040435,-,ASB16,protein_coding,ASB16,ensembl,---,protein_coding,ensembl,6.0,3.0,5.0,39.0,9.0,0.0,2.0,12.0,0.0,11.0,0.0,6.0,7.0,11.0,3.0,2.0,53.0,0.0,0.0,0.0
799,3,87389873,87504629,+,ASB3,protein_coding,ASB3,ensembl,---,protein_coding,ensembl,42.0,7.0,23.0,36.0,34.0,31.0,24.0,68.0,8.0,44.0,29.0,20.0,48.0,37.0,23.0,23.0,23.0,4.0,2.0,0.0
813,15,48373392,48417533,-,ASH2L,protein_coding,ASH2L,ensembl,---,protein_coding,ensembl,30.0,17.0,48.0,103.0,51.0,43.0,43.0,112.0,31.0,46.0,60.0,30.0,57.0,67.0,31.0,74.0,71.0,4.0,10.0,7.0
885,12,52925693,52932638,+,ATP1B2,protein_coding,ATP1B2,ensembl,---,protein_coding,ensembl,161.0,44.0,58.0,80.0,6.0,87.0,76.0,168.0,91.0,40.0,30.0,44.0,212.0,123.0,146.0,175.0,77.0,0.0,0.0,1.0
895,6,4237440,4313248,-,ATP2C2,protein_coding,ATP2C2,ensembl,---,protein_coding,ensembl,3.0,1.0,1.0,5.0,1.0,10.0,25.0,17.0,9.0,5.0,28.0,10.0,15.0,3.0,2.0,6.0,5.0,0.0,0.0,0.0
896,11,78780013,78785117,-,ATP4B,protein_coding,ATP4B,ensembl,---,protein_coding,ensembl,0.0,1.0,0.0,7.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,0.0,0.0,0.0
1219,7,24790001,24809855,-,BTNL2,protein_coding,BTNL2,ensembl,---,protein_coding,ensembl,1.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1323,15,24835383,24895339,-,C2orf76,protein_coding,C2orf76,ensembl,---,protein_coding,ensembl,2.0,1.0,2.0,12.0,13.0,9.0,3.0,8.0,1.0,6.0,8.0,2.0,5.0,3.0,0.0,9.0,5.0,0.0,0.0,0.0
1374,4,51407473,51468962,-,CA13,protein_coding,CA13,ensembl,---,protein_coding,ensembl,1.0,7.0,14.0,7.0,82.0,0.0,49.0,2.0,47.0,89.0,12.0,16.0,6.0,12.0,0.0,3.0,8.0,0.0,0.0,0.0
1407,12,13288544,13328018,+,CACNG5,protein_coding,CACNG5,ensembl,---,protein_coding,ensembl,8.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1414,9,42634855,42984880,-,CADM1,protein_coding,CADM1,ensembl,---,protein_coding,ensembl,37.0,56.0,24.0,46.0,284.0,79.0,364.0,47.0,332.0,323.0,217.0,40.0,84.0,130.0,2.0,42.0,36.0,6.0,18.0,7.0
1436,9,133351526,133379706,-,CAMK1G,protein_coding,CAMK1G,ensembl,---,protein_coding,ensembl,11.0,2.0,10.0,9.0,7.0,0.0,2.0,58.0,7.0,15.0,6.0,5.0,6.0,25.0,6.0,12.0,6.0,0.0,0.0,0.0
1437,2,151248356,151308659,-,CAMK2A,protein_coding,CAMK2A,ensembl,---,protein_coding,ensembl,47.0,26.0,67.0,1055.0,47.0,45.0,52.0,183.0,75.0,51.0,47.0,36.0,79.0,164.0,30.0,68.0,1102.01,0.0,0.0,0.0
1440,14,76535095,76592910,-,CAMK2G,protein_coding,CAMK2G,ensembl,---,protein_coding,ensembl,946.997,378.001,1365.01,1019.0,698.999,937.995,699.002,1836.01,712.998,714.0,721.0,586.999,1170.01,1291.99,717.002,1188.01,497.999,7.0,5.0,5.0
1444,3,95688400,96091959,-,CAMKMT,protein_coding,CAMKMT,ensembl,---,protein_coding,ensembl,20.0,7.0,11.0,14.0,21.0,15.0,17.0,22.0,16.0,17.0,37.0,15.0,5.0,13.0,13.0,16.0,7.0,3.0,0.0,0.0
1506,4,104918501,104999788,+,CASQ2,protein_coding,CASQ2,ensembl,---,protein_coding,ensembl,394.001,100.0,201.0,2328.01,108.0,244.0,217.0,647.0,205.0,144.0,226.0,206.0,467.001,451.998,329.001,614.996,3025.08,0.0,0.0,0.0
1554,2,119444091,119474791,-,CCDC112,protein_coding,CCDC112,ensembl,---,protein_coding,ensembl,19.0,9.0,57.0,68.0,15.0,36.0,20.0,37.0,12.0,44.0,55.0,74.0,49.0,56.0,74.0,49.0,174.0,0.0,2.0,2.0
1627,9,28376726,28407775,-,CCDC82,protein_coding,CCDC82,ensembl,---,protein_coding,ensembl,153.0,43.0,132.0,85.0,98.0,172.0,104.0,157.0,41.0,124.0,234.0,215.0,125.0,178.0,111.0,197.0,50.0,0.0,1.0,0.0
1644,1,236948636,236950403,+,CCIN,protein_coding,CCIN,ensembl,---,protein_coding,ensembl,3.0,2.0,4.0,0.0,2.0,0.0,6.0,2.0,2.0,7.0,24.0,0.0,3.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0
1696,1,2018608,2019822,-,CCR6,protein_coding,CCR6,ensembl,---,protein_coding,ensembl,0.0,0.0,0.0,0.0,13.0,0.0,5.0,0.0,12.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1707,3,16843625,16858820,-,CCT6A,protein_coding,CCT6A,ensembl,---,protein_coding,ensembl,179.0,118.0,307.0,244.0,333.919,138.0,143.0,172.0,131.0,380.999,355.001,198.0,254.0,290.0,154.0,331.0,260.649,3.0,18.0,20.0
1719,3,18592879,18603596,+,CD19,protein_coding,CD19,ensembl,---,protein_coding,ensembl,0.0,0.0,6.0,4.0,1.0,4.0,1.0,4.0,0.0,6.0,0.0,4.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0
1765,13,138427525,138504311,-,CD86,protein_coding,CD86,ensembl,---,protein_coding,ensembl,24.0,69.0,100.0,39.0,485.001,237.0,473.0,45.0,328.999,576.998,341.0,118.0,60.0,119.0,18.0,54.0,44.0,0.0,0.0,0.0
1877,6,51220879,51231762,+,CEACAM16,protein_coding,CEACAM16,ensembl,---,protein_coding,ensembl,6.0,0.0,5.0,2.0,0.0,7.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
1884,5,69621759,69744437,+,CECR2,protein_coding,CECR2,ensembl,---,protein_coding,ensembl,69.0,12.0,37.0,126.0,23.0,38.0,57.0,134.0,46.0,49.0,55.0,25.0,48.0,87.0,30.0,52.0,75.0,1.0,0.0,0.0
1964,14,140916089,141002711,-,CFAP46,protein_coding,CFAP46,ensembl,---,protein_coding,ensembl,10.0,1.0,2.0,19.0,1.0,4.0,14.0,34.0,6.0,2.0,12.0,0.0,3.0,3.0,0.0,10.0,8.0,0.0,0.0,0.0
1977,X,42143805,42174940,-,CFP,protein_coding,CFP,ensembl,---,protein_coding,ensembl,84.0,22.0,46.0,97.9999,109.0,67.0,67.0,107.0,93.0,91.0,90.0,30.0,72.0,90.0,46.0,80.0,101.0,3.0,4.0,0.0
2007,14,22614134,22683967,+,CHFR,protein_coding,CHFR,ensembl,---,protein_coding,ensembl,119.0,54.0,134.0,181.0,195.0,120.0,150.0,286.0,146.0,156.0,103.0,84.0,146.0,163.0,81.0,140.0,73.0,0.0,1.0,1.0
2038,9,9017685,9052881,-,CHRDL2,protein_coding,CHRDL2,ensembl,---,protein_coding,ensembl,9.0,4.0,6.0,13.0,16.0,0.0,12.0,12.0,14.0,17.0,1.0,3.0,6.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0
2085,14,33009867,33196287,+,CIT,protein_coding,CIT,ensembl,---,protein_coding,ensembl,10.0,5.0,22.0,9.0,62.0,4.0,19.0,18.0,8.0,59.0,9.0,2.0,12.0,8.0,0.0,8.0,1.0,18.0,22.0,20.0
2093,AEMK02000452.1,2070847,2074900,-,CKB,protein_coding,CKB,ensembl,---,protein_coding,ensembl,667.998,179.0,923.997,341.0,581.998,560.001,523.003,739.999,569.001,909.007,303.001,443.999,944.006,745.998,544.002,962.007,211.0,13.0,18.0,14.0
2094,6,51699165,51714814,-,CKM,protein_coding,CKM,ensembl,---,protein_coding,ensembl,87.0,130.0,43.0,14289.1,10.0,532.0,81.0,1229.01,1.0,3.0,9.0,11.0,362.0,1023.0,0.0,116.0,20074.1,0.0,0.0,0.0
2106,14,20026929,20127156,-,CLCN3,protein_coding,CLCN3,ensembl,---,protein_coding,ensembl,43.0,9.0,29.0,185.0,56.0,14.0,80.0,105.0,37.0,97.0,64.0,7.0,28.0,41.0,35.0,29.0,99.0,1.0,1.0,3.0
2134,6,82401188,82483725,+,CLIC4,protein_coding,CLIC4,ensembl,---,protein_coding,ensembl,3209.09,1316.0,5089.01,2007.03,3723.1,4727.91,2842.92,2887.01,2208.01,5179.1,5306.24,4557.08,4713.77,4545.97,3149.96,6091.11,2302.03,9.0,9.0,10.0
2182,6,27320337,27391472,-,CMTM4,protein_coding,CMTM4,ensembl,---,protein_coding,ensembl,79.0,27.0,82.0,67.0,112.0,64.0,80.0,111.0,66.0,91.0,89.0,64.0,94.0,69.0,81.0,79.0,28.0,1.0,2.0,2.0
2229,9,65737719,65776309,+,CNTN2,protein_coding,CNTN2,ensembl,---,protein_coding,ensembl,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
2322,10,14596599,14643775,+,COQ8A,protein_coding,COQ8A,ensembl,---,protein_coding,ensembl,80.0,24.0,67.0,1271.0,47.0,157.0,75.0,307.0,39.0,50.0,53.0,52.0,142.0,123.0,87.0,75.0,1222.01,0.0,0.0,2.0
2323,6,19372164,19390737,+,COQ9,protein_coding,COQ9,ensembl,---,protein_coding,ensembl,45.0,22.0,84.0,855.999,96.0,56.0,52.0,120.0,45.0,110.0,59.0,36.0,62.0,113.0,35.0,46.0,976.0,1.0,2.0,7.0
2346,14,40408631,40423630,+,COX6A1,protein_coding,COX6A1,ensembl,---,protein_coding,ensembl,263.531,76.7694,255.086,140.589,386.272,187.388,177.709,216.157,211.393,323.5,229.38,141.588,234.185,259.266,128.803,256.782,122.759,0.0,1.20119,1.0
2357,4,67158043,67411594,+,CPA6,protein_coding,CPA6,ensembl,---,protein_coding,ensembl,2.0,0.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2367,6,75345256,75349944,-,CPLANE2,protein_coding,CPLANE2,ensembl,---,protein_coding,ensembl,1.0,1.0,1.0,1.0,12.0,0.0,2.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0
2418,10,57829518,57895611,+,CREM,protein_coding,CREM,ensembl,---,protein_coding,ensembl,138.0,69.0,95.0,44.0,77.0,133.0,78.0,61.0,115.0,160.0,206.0,164.0,204.0,225.0,110.0,382.0,68.0,2.0,1.0,1.0
2478,5,104273168,104295143,+,CSRP2,protein_coding,CSRP2,ensembl,---,protein_coding,ensembl,206.0,41.0,229.0,136.0,331.0,100.0,207.0,258.0,141.0,246.0,181.0,133.0,137.0,172.0,129.0,276.0,41.0,0.0,1.0,0.0
2605,2,61864575,61984904,-,CYP4F3,protein_coding,CYP4F3,ensembl,---,protein_coding,ensembl,1.0,0.0,0.0,0.0,0.0,2.0,1.26803,3.0,0.0,3.0,0.0,7.0,1.71106,0.0,3.88647,0.0,1.27e-31,0.0,0.0,0.0
2615,AEMK02000682.1,681720,682734,-,CYSRT1,protein_coding,CYSRT1,ensembl,---,protein_coding,ensembl,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2643,2,74759022,74779955,+,DAPK3,protein_coding,DAPK3,ensembl,---,protein_coding,ensembl,458.999,157.0,494.999,421.999,482.998,437.001,474.001,677.003,433.999,489.0,411.0,329.0,476.001,570.002,446.999,712.0,212.0,2.0,5.0,8.0
2672,9,3113451,3134822,+,DCHS1,protein_coding,DCHS1,ensembl,---,protein_coding,ensembl,143.0,36.0,117.0,208.0,245.0,193.0,296.0,266.0,191.0,243.0,97.0,54.0,143.0,225.0,102.0,121.0,130.0,1.0,2.0,0.0
2709,14,75117707,75119904,+,DDIT4,protein_coding,DDIT4,ensembl,---,protein_coding,ensembl,79.0,22.0,68.0,193.0,150.0,155.0,83.0,141.0,67.0,76.0,192.0,17.0,93.0,109.0,16.0,62.0,169.0,7.0,12.0,13.0
2822,12,61318454,61352986,+,DHRS7B,protein_coding,DHRS7B,ensembl,---,protein_coding,ensembl,12.0,2.0,11.0,41.0,17.0,7.0,13.0,55.0,13.0,19.0,11.0,14.0,7.0,12.0,12.0,5.0,22.0,0.0,0.0,0.0
2856,13,84634030,84657372,+,DIPK2A,protein_coding,DIPK2A,ensembl,---,protein_coding,ensembl,119.0,30.0,173.0,103.0,229.0,177.0,198.0,182.0,213.0,269.0,175.0,214.0,172.0,177.0,161.0,188.0,120.0,0.0,7.0,2.0
2882,6,102333403,103199839,+,DLGAP1,protein_coding,DLGAP1,ensembl,---,protein_coding,ensembl,0.0,2.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,3.0,13.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0
2887,1,199231,211345,+,DLL1,protein_coding,DLL1,ensembl,---,protein_coding,ensembl,4.0,0.0,8.0,4.0,2.0,3.0,4.0,5.0,2.0,5.0,4.0,0.0,15.0,6.0,3.0,11.0,11.0,0.0,0.0,0.0
2902,6,52100261,52110060,-,DMPK,protein_coding,DMPK,ensembl,---,protein_coding,ensembl,828.086,243.291,816.31,940.819,590.942,626.325,609.801,770.647,486.077,507.607,461.675,467.383,966.602,1200.22,615.229,1150.48,1048.76,7.5e-13,1.0,0.643393
2903,1,220745492,220757314,-,DMRT2,protein_coding,DMRT2,ensembl,---,protein_coding,ensembl,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0
3019,2,5907252,5946736,-,DPP3,protein_coding,DPP3,ensembl,---,protein_coding,ensembl,14.0,5.0,23.0,30.0,49.0,2.0,30.0,27.0,36.0,70.0,25.0,7.0,8.0,23.0,12.0,18.0,32.0,11.0,10.0,12.0
3044,12,60586209,60598285,-,DRG2,protein_coding,DRG2,ensembl,---,protein_coding,ensembl,47.0,22.0,62.0,93.0,90.0,57.0,65.0,113.0,50.0,69.0,87.0001,49.0,86.0,92.0,43.0,87.0,71.0,2.0,3.0,1.0
3085,15,88549275,88574244,+,DUSP19,protein_coding,DUSP19,ensembl,---,protein_coding,ensembl,6.0,3.0,24.0,49.0,9.0,29.0,10.0,49.0,7.0,13.0,4.0,14.0,9.0,12.0,6.0,8.0,21.0,0.0,1.0,0.0
3088,4,90720696,90721947,-,DUSP23,protein_coding,DUSP23,ensembl,---,protein_coding,ensembl,5.0,0.0,4.0,17.0,1.0,1.0,5.0,5.0,4.0,5.0,2.0,0.0,3.0,4.0,0.0,5.0,8.0,0.0,0.0,0.0
3181,1,92421005,92488566,+,EEF1A1,protein_coding,EEF1A1,ensembl,---,protein_coding,ensembl,11949.1,4795.03,15797.8,9290.84,22667.3,15374.8,14941.4,11843.5,14033.7,18733.7,15264.9,11092.5,16349.8,17158.7,9375.96,18225.2,6193.09,419.0,469.734,560.915
3353,5,63799339,63836689,-,ENO2,protein_coding,ENO2,ensembl,---,protein_coding,ensembl,0.0,0.0,2.0,2.0,11.0,1.97e-12,7.43657,1.51339,1.99942,12.0,0.0,1.0,6.0,1.99952,0.0,2.0,3.0,3.0,5.0,11.0
3385,5,21707834,21711293,-,ENSSSCG00000000394,protein_coding,---,ensembl,---,protein_coding,ensembl,47.0,20.0,67.0,51.0,177.0,28.0,73.0,73.0,74.0,108.0,72.0,75.0,90.0,96.0,52.0,75.0,38.0,8.0,9.0,11.0
3394,5,62187297,62226134,-,ENSSSCG00000000657,protein_coding,---,ensembl,---,protein_coding,ensembl,23.0,17.0,60.0,58.0,133.0,154.0,59.0,50.0,35.0,120.0,88.0,133.0,69.0,76.0,16.0,40.0,44.0,0.0,0.0,0.0
3406,7,12254514,12299532,+,ENSSSCG00000001064,protein_coding,---,ensembl,---,protein_coding,ensembl,41.0,14.0,60.0,324.0,47.0,16.0,47.0,79.0,21.0,37.0,54.0,8.0,40.0,68.0,51.0,48.0,283.0,0.0,1.0,0.0
3508,6,59424134,59426775,-,ENSSSCG00000003302,protein_coding,---,ensembl,---,protein_coding,ensembl,0.0,0.0,3.0,2.0,4.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3544,1,29104586,29109021,-,ENSSSCG00000004170,protein_coding,---,ensembl,---,protein_coding,ensembl,4.0,5.0,27.0,7.0,10.0,16.0,13.0,16.0,11.0,29.0,12.0,3.0,15.0,18.0,10.0,1.0,11.0,1.0,0.0,0.0
3637,4,96030899,96037484,+,ENSSSCG00000006581,lncRNA,---,ensembl,---,lncRNA,ensembl,96.6001,39.0255,95.3734,93.0931,132.669,67.0843,72.0678,99.1899,77.0466,94.5886,112.941,47.6277,122.197,157.462,109.858,100.147,84.2171,8.0,2.0,3.96012
3762,8,135229598,135279046,+,ENSSSCG00000009240,protein_coding,---,ensembl,---,protein_coding,ensembl,3.0,1.0,15.0,2.0,57.0,27.0,7.0,6.0,5.0,26.0,34.0,11.0,13.0,2.0,10.0,3.0,19.0,0.0,0.0,0.0
3763,11,2310269,2380054,+,ENSSSCG00000009281,protein_coding,---,ensembl,---,protein_coding,ensembl,0.0,0.0,0.0,119.0,1.0,8.0,4.0,12.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0
3801,14,47370058,47392501,+,ENSSSCG00000010006,protein_coding,---,ensembl,---,protein_coding,ensembl,9.0,3.0,10.0,7.0,6.0,7.0,7.0,22.0,4.0,13.0,6.0,6.0,3.0,20.0,3.0,6.0,0.0,0.0,0.0,2.0
3808,14,49845319,49863189,-,ENSSSCG00000010068,protein_coding,---,ensembl,---,protein_coding,ensembl,2.0,0.0,0.0,19.4617,9.0,5.0,3.02622,16.3462,3.05782,6.05663,5.0,5.0,1.0,1.0,3.0,3.0,21.645,0.0,0.0,0.0
3836,14,109503940,109569344,+,ENSSSCG00000010531,protein_coding,---,ensembl,---,protein_coding,ensembl,36.0,8.0,16.0,23.0,32.0,34.0,28.0,59.0,25.0,28.0,46.0,7.0,18.0,35.0,31.0,42.0,12.0,0.0,2.0,2.0
3850,10,24868040,24931712,-,ENSSSCG00000010931,protein_coding,---,ensembl,---,protein_coding,ensembl,250.502,104.982,237.717,622.012,437.515,318.101,376.15,373.639,331.452,367.052,296.749,204.366,322.363,363.349,268.71,417.519,583.062,8.0,6.0,5.0
3853,10,32136086,32146139,-,ENSSSCG00000010968,protein_coding,---,ensembl,---,protein_coding,ensembl,85.0,23.0,142.0,223.0,81.0,180.0,104.0,247.0,89.0,121.0,104.0,38.0,144.0,135.0,31.0,108.0,169.0,1.0,1.0,0.0
3976,2,40812453,40826716,-,ENSSSCG00000013366,protein_coding,---,ensembl,---,protein_coding,ensembl,110.0,134.0,485.0,116.0,1856.01,343.001,864.995,99.0,903.003,1388.0,693.001,274.0,180.0,250.0,119.0,168.0,114.0,44.0,54.0,55.0
4027,2,147569793,147644239,+,ENSSSCG00000014414,protein_coding,---,ensembl,---,protein_coding,ensembl,225.0,79.0,230.0,302.0,224.0,331.0,247.0,327.0,204.0,292.0,334.0,279.0,257.0,351.0,239.0,371.0,229.0,9.0,9.0,20.0
4066,9,133857512,133859106,+,ENSSSCG00000015620,protein_coding,---,ensembl,---,protein_coding,ensembl,2.0,6.0,4.0,12.0,6.0,4.0,8.0,9.1538,5.0,6.0,9.0,9.0,3.0,4.0,1.0,9.0,4.0,0.0,1.0,0.0
4082,15,106905821,106961097,-,ENSSSCG00000016119,protein_coding,---,ensembl,---,protein_coding,ensembl,123.0,76.0,79.0,171.0,220.0,190.0,423.001,172.0,237.0,361.0,268.0,169.0,111.0,200.0,85.0,152.0,165.0,4.0,5.0,2.0
4155,12,32043861,32156019,+,ENSSSCG00000017608,protein_coding,---,ensembl,---,protein_coding,ensembl,60.0,19.0,72.0,85.0,27.0,55.0,35.0,137.0,40.0,56.0,113.0,36.0,50.0,80.0,52.0,72.0,60.0,0.0,0.0,0.0
4165,12,49710662,49732248,-,ENSSSCG00000017864,protein_coding,---,ensembl,---,protein_coding,ensembl,0.0,3.0,5.0,7.0,25.0,2.0,8.0,27.0,10.0,13.0,5.0,6.0,6.0,7.0,13.0,1.0,3.0,0.0,2.0,0.0
4191,M,6379,6445,-,ENSSSCG00000018073,Mt_tRNA,---,RefSeq,---,Mt_tRNA,RefSeq,3.0,1.0,7.0,2.0,3.0,1.0,3.0,0.0,2.0,6.0,8.0,1.0,6.0,5.0,1.0,3.0,76.0,0.0,0.0,0.0
